,year,descripcion,Combustible:,Cilindrada:,Transmisión:,Estilo:,Color Exterior:,Color Interior:,Placa:,Provincia:
0,2000,Fiat PUNTO • 5 Pas.,Gasolina,1242 cc,Manual,Hatchback,BLANCO,AZUL,Termina en 8,San José
0,1973,Volkswagen VARIANT • 5 Pas.,Gasolina,1800 cc,Manual,Station Wagon,AZUL,AZUL,Termina en 7,San José
0,2001,Hyundai VERNA • 5 Pas.,Gasolina,1500 cc,Manual,Sedán,BLANCO,NEGRO,Termina en 6,Alajuela
0,2002,Ford TAURUS SES • 5 Pas.,Gasolina,3000 cc,Automática,Sedán,BLANCO,NEGRO,Termina en 8,San José
0,1999,Plymouth BREEZE • 5 Pas.,Gasolina,2000 cc,Automática,Sedán,BEIGE,BEIGE,Termina en 5,Guanacaste
0,1987,Hyundai EXCEL • 5 Pas.,Gasolina,1469 cc,Manual,Sedán,BEIGE,GRIS,Termina en 9,Alajuela
0,1997,Honda ACCORD • 5 Pas.,Gasolina,2200 cc,Automática,Sedán,DORADO,BEIGE,Termina en 8,San José
0,1989,Mitsubishi LANCER • 5 Pas.,Gasolina,1500 cc,Manual,Sedán,BLANCO,CAFÉ,Termina en 5,Cartago
0,1993,Yugo GV PLUS • 5 Pas.,Gasolina,1300 cc,Manual,Sedán,ROJO,GRIS,Termina en 1,San José
0,1993,Hyundai SONATA • 5 Pas.,Gasolina,2000 cc,Manual,Sedán,VINO,NEGRO,Termina en 5,Heredia
0,1993,Kia SPORTAGE • 5 Pas.,Gasolina,2000 cc,Manual,Todo Terreno 4x4,AZUL,NEGRO,Termina en 9,Cartago
0,1985,Toyota COROLLA • 5 Pas.,Gasolina,1500 cc,Manual,Sedán,BLANCO,GRIS,Termina en 0,San José
0,1988,Nissan PULSAR • 5 Pas.,Gasolina,1300 cc,Manual,Sedán,AZUL,GRIS,Termina en 8,Heredia
0,1988,Ford FESTIVA • 5 Pas.,Gasolina,1300 cc,Manual,Sedán,ROJO,NEGRO,Termina en 5,Heredia
0,1993,BMW 318I • 5 Pas.,Gasolina,1800 cc,Manual,Sedán,GRIS,NEGRO,Termina en 6,Cartago
0,1998,Hyundai ATOS • 5 Pas.,Gasolina,1000 cc,Manual,Sedán,AZUL,AZUL,Termina en 2,Heredia
0,1992,Nissan SENTRA B13 • 5 Pas.,Gasolina,1600 cc,Manual,Sedán,BLANCO,GRIS,Termina en 7,Cartago
0,2001,Peugeot PARTNER • 5 Pas.,Diesel,1900 cc,Manual,Microbús/Minivan,GRIS,GRIS,Termina en 0,San José
0,2002,Volkswagen POLO CLASSIC • 5 Pas.,Gasolina,1600 cc,Manual,Sedán,AZUL,NEGRO,Termina en 3,San José
0,1995,Daewoo DAEWOO • 5 Pas.,Gasolina,1500 cc,Manual,Sedán,BLANCO,GRIS,Termina en 6,Cartago
0,1980,Toyota STARLET • 5 Pas.,Gasolina,1000 cc,Manual,Sedán,VINO,BEIGE,Termina en 4,Heredia
0,1995,Toyota CAMRY • 5 Pas.,Gasolina,2200 cc,Manual,Sedán,BLANCO,GRIS,Termina en 1,San José
0,1991,Nissan SENTRA E • 5 Pas.,Gasolina,1597 cc,Manual,Sedán,BLANCO,NEGRO,Termina en 1,San José
0,1989,Nissan SENTRA B12 • 5 Pas.,Gasolina,1600 cc,Manual,Sedán,NEGRO,GRIS,Termina en 2,Cartago
0,2004,Fiat PALIO EX • 5 Pas.,Gasolina,1292 cc,Manual,Hatchback,AZUL,GRIS,Termina en 5,Alajuela
0,2004,Nissan PLATINA • 5 Pas.,Gasolina,1600 cc,Manual,Sedán,GRIS,VARIOS,Termina en 7,San José
0,2000,Daewoo LANOS • 5 Pas.,Gasolina,1500 cc,Manual,Sedán,GRIS,GRIS,Termina en 7,San José
0,1998,Chevrolet METRO • 4 Pas.,Gasolina,1000 cc,Manual,Sedán,NEGRO,GRIS,Termina en 3,San José
0,2003,Chevrolet CAVALIER • 5 Pas.,Gasolina,2200 cc,Manual,Sedán,GRIS,GRIS,Termina en 8,San José
0,2000,Dodge/RAM NEON • 5 Pas.,Gasolina,2000 cc,Manual,Sedán,BLANCO,GRIS,Termina en 3,San José
0,1993,Toyota TERCEL • 5 Pas.,Gasolina,1500 cc,Manual,Sedán,ROJO,GRIS,Termina en 8,Heredia
0,1992,Nissan SENTRA • 5 Pas.,Gasolina,1600 cc,Manual,Sedán,VERDE,GRIS,Termina en 7,Cartago
0,1994,Nissan QUEST • 7 Pas.,Gasolina,3000 cc,Automática,Microbús/Minivan,AZUL,AZUL,Termina en 0,Cartago
0,1997,Mitsubishi LANCER • 5 Pas.,Gasolina,1300 cc,Manual,Sedán,AZUL,GRIS,Termina en 1,Heredia
0,2006,Jeep GRAND CHEROKEE LIMITED • 5 Pas.,Gasolina,4700 cc,Automática,Todo Terreno 4x4,AZUL,CREMA CUERO,Termina en 3,San José
0,1994,Hyundai ACCENT • 5 Pas.,Gasolina,1500 cc,Manual,Sedán,ROJO,GRIS,Termina en 0,San José
0,1984,Volkswagen SAVEIRO • 2 Pas.,Gasolina,1600 cc,Manual,Pickup 4x2,NEGRO,NEGRO,Termina en 8,San José
0,1981,Mercedes Benz 280SE • 5 Pas.,Gasolina,2800 cc,Automática,Sedán,VERDE,VINO,ND,Cartago
0,1970,Mercedes Benz 220 • 5 Pas.,Gasolina,2300 cc,Manual,Sedán,AZUL,BLANCO,Termina en 6,Cartago
0,1992,Dodge/RAM COLT • 5 Pas.,Gasolina,1500 cc,Manual,Hatchback,VINO,GRIS,Termina en 6,Alajuela
0,1994,Geo PRIZM • 5 Pas.,Gasolina,1600 cc,Manual,Sedán,BEIGE,GRIS,Termina en 1,San José
0,2000,Nissan ALTIMA • 5 Pas.,Gasolina,2400 cc,Automática,Sedán,BLANCO,BEIGE,Termina en 2,Alajuela
0,1993,Toyota TERCEL • 5 Pas.,Gasolina,1500 cc,Manual,Sedán,AZUL,NEGRO,Termina en 5,San José
0,1984,Toyota TERCEL • 5 Pas.,Gasolina,1500 cc,Manual,Station Wagon,BEIS,GRIS NEGRO,Termina en 9,San José
0,2005,Hyundai ELANTRA • 5 Pas.,Diesel,2000 cc,Manual,Sedán,ROJO,GRIS,Termina en 4,Heredia
0,1999,Mazda PROTEGE • 5 Pas.,Gasolina,1800 cc,Manual,Sedán,ROJO,GRIS,Termina en 3,San José
0,1991,Toyota COROLLA • 5 Pas.,Gasolina,1600 cc,Manual,Sedán,VINO,GRIS,Termina en 8,Alajuela
