year,marca,modelo,pasajeros,descripcion,precio,preciodolar,Combustible:,Cilindrada:,Transmisión:,Estilo:,Color Exterior:,Color Interior:,Placa:,Provincia:
2000,Fiat,PUNTO,5,"['PUNTO', '•', '5', 'Pas.']",  200000,   374,Gasolina,1242 cc,Manual,Hatchback,BLANCO,AZUL,Termina en 8,San José
1973,Volkswagen,VARIANT,5,"['VARIANT', '•', '5', 'Pas.']",  500000,   935,Gasolina,1800 cc,Manual,Station Wagon,AZUL,AZUL,Termina en 7,San José
1987,Nissan,SENTRA B12,5,"['SENTRA', 'B12', '•', '5', 'Pas.']",  580000,  1084,Gasolina,1600 cc,Manual,Sedán,ROJO,GRIS,Termina en 1,Cartago
2001,Hyundai,VERNA,5,"['VERNA', '•', '5', 'Pas.']",  600000,  1121,Gasolina,1500 cc,Manual,Sedán,BLANCO,NEGRO,Termina en 6,Alajuela
1993,Daihatsu,FEROZA,5,"['FEROZA', '•', '5', 'Pas.']",  750000,  1402,Gasolina,1500 cc,Manual,Todo Terreno 4x4,VERDE Y GRIS,GRIS,Termina en 8,San José
1998,Pontiac,SUNFIRE,5,"['SUNFIRE', '•', '5', 'Pas.']",  770000,  1439,Gasolina,2400 cc,Automática,Sedán,VINO,GRIS,Termina en 9,Alajuela
2002,Ford,TAURUS SES,5,"['TAURUS', 'SES', '•', '5', 'Pas.']",  800000,  1495,Gasolina,3000 cc,Automática,Sedán,BLANCO,NEGRO,Termina en 8,San José
1999,Plymouth,BREEZE,5,"['BREEZE', '•', '5', 'Pas.']",  850000,  1589,Gasolina,2000 cc,Automática,Sedán,BEIGE,BEIGE,Termina en 5,Guanacaste
1987,Hyundai,EXCEL,5,"['EXCEL', '•', '5', 'Pas.']",  850000,  1589,Gasolina,1469 cc,Manual,Sedán,BEIGE,GRIS,Termina en 9,Alajuela
1997,Honda,ACCORD,5,"['ACCORD', '•', '5', 'Pas.']",  850000,  1589,Gasolina,2200 cc,Automática,Sedán,DORADO,BEIGE,Termina en 8,San José
1989,Mitsubishi,LANCER,5,"['LANCER', '•', '5', 'Pas.']",  950000,  1776,Gasolina,1500 cc,Manual,Sedán,BLANCO,CAFÉ,Termina en 5,Cartago
1993,Yugo,GV PLUS,5,"['GV', 'PLUS', '•', '5', 'Pas.']",  950000,  1776,Gasolina,1300 cc,Manual,Sedán,ROJO,GRIS,Termina en 1,San José
1993,Hyundai,SONATA,5,"['SONATA', '•', '5', 'Pas.']", 1000000,  1869,Gasolina,2000 cc,Manual,Sedán,VINO,NEGRO,Termina en 5,Heredia
1993,Kia,SPORTAGE,5,"['SPORTAGE', '•', '5', 'Pas.']", 1000000,  1869,Gasolina,2000 cc,Manual,Todo Terreno 4x4,AZUL,NEGRO,Termina en 9,Cartago
1985,Toyota,COROLLA,5,"['COROLLA', '•', '5', 'Pas.']", 1000000,  1869,Gasolina,1500 cc,Manual,Sedán,BLANCO,GRIS,Termina en 0,San José
1990,Toyota,"TERCEL • 5 Pas. Combustible: Gasolina Cilindrada: 1500 cc Transmisión: Manual Estilo: Sedán Hola.Se vende carrito que recibi como herencia poco uso era de mi papa.Manual Color Exterior: AZUL Color Interior: NEGRO Placa: Termina en 8 Provincia: San José ¢ 1,299,000 ($",Ver,"['TERCEL', '•', '5', 'Pas.', 'Combustible:', 'Gasolina', 'Cilindrada:', '1500', 'cc', 'Transmisión:', 'Manual', 'Estilo:', 'Sedán', 'Hola.Se', 'vende', 'carrito', 'que', 'recibi', 'como', 'herencia', 'poco', 'uso', 'era', 'de', 'mi', 'papa.Manual', 'Color', 'Exterior:', 'AZUL', 'Color', 'Interior:', 'NEGRO', 'Placa:', 'Termina', 'en', '8', 'Provincia:', 'San', 'José', '¢', '1,299,000', '($', '2,428)*', 'Ver', 'Detalles']", 1299000,  2428,Gasolina,1500 cc,Manual,Sedán,AZUL,NEGRO,Termina en 8,San José
1987,Peugeot,505 GTI,5,"['505', 'GTI', '•', '5', 'Pas.']", 1000000,  1869,Gasolina,2165 cc,Automática,Sedán,BEIGE,NEGRO,Termina en 2,Alajuela
1988,Nissan,PULSAR,5,"['PULSAR', '•', '5', 'Pas.']", 1100000,  2056,Gasolina,1300 cc,Manual,Sedán,AZUL,GRIS,Termina en 8,Heredia
1988,Ford,FESTIVA,5,"['FESTIVA', '•', '5', 'Pas.']", 1100000,  2056,Gasolina,1300 cc,Manual,Sedán,ROJO,NEGRO,Termina en 5,Heredia
1993,BMW,318I,5,"['318I', '•', '5', 'Pas.']", 1100000,  2056,Gasolina,1800 cc,Manual,Sedán,GRIS,NEGRO,Termina en 6,Cartago
1991,Toyota,TERCEL,5,"['TERCEL', '•', '5', 'Pas.']", 1100000,  2056,Gasolina,1500 cc,Manual,Sedán,ROJO,BEIGE,Termina en 0,Limón
1998,Hyundai,ATOS,5,"['ATOS', '•', '5', 'Pas.']", 1200000,  2243,Gasolina,1000 cc,Manual,Sedán,AZUL,AZUL,Termina en 2,Heredia
1992,Nissan,SENTRA B13,5,"['SENTRA', 'B13', '•', '5', 'Pas.']", 1200000,  2243,Gasolina,1600 cc,Manual,Sedán,BLANCO,GRIS,Termina en 7,Cartago
2001,Peugeot,PARTNER,5,"['PARTNER', '•', '5', 'Pas.']", 1200000,  2243,Diesel,1900 cc,Manual,Microbús/Minivan,GRIS,GRIS,Termina en 0,San José
2002,Volkswagen,POLO CLASSIC,5,"['POLO', 'CLASSIC', '•', '5', 'Pas.']", 1200000,  2243,Gasolina,1600 cc,Manual,Sedán,AZUL,NEGRO,Termina en 3,San José
