year,marca,modelo,pasajeros,descripcion,precio,preciodolar,Combustible:,Cilindrada:,Transmisión:,Estilo:,Color Exterior:,Color Interior:,Placa:,Provincia:
1997,Hyundai,EURO ACCENT,5,"['Hyundai', 'EURO', 'ACCENT']",  400000,   752,Gasolina,1300 cc,Manual,Sedán,GRIS,GRIS/NEGRO,Termina en 9,Heredia
1973,Volkswagen,VARIANT,5,"['Volkswagen', 'VARIANT']",  500000,   940,Gasolina,1800 cc,Manual,Station Wagon,AZUL,AZUL,Termina en 7,San José
1987,Nissan,SENTRA B12,5,"['Nissan', 'SENTRA', 'B12']",  580000,  1090,Gasolina,1600 cc,Manual,Sedán,ROJO,GRIS,Termina en 1,Cartago
2001,Hyundai,VERNA,5,"['Hyundai', 'VERNA']",  600000,  1128,Gasolina,1500 cc,Manual,Sedán,BLANCO,NEGRO,Termina en 6,Alajuela
1989,Volvo,360 GL,5,"['Volvo', '360', 'GL']",  600000,  1128,Gasolina,1986 cc,Manual,Sedán,CELESTE,GRIS,Termina en 8,San José
1987,Toyota,CELICA,5,"['Toyota', 'CELICA']",  600000,  1128,Gasolina,2000 cc,Manual,Sedán,AZUL,GRIS,Termina en 2,San José
1997,Mercury,MYSTIQUE,5,"['Mercury', 'MYSTIQUE']",  600000,  1128,Gasolina,2000 cc,Automática,Sedán,BLANCO,GRIS,Termina en 6,San José
1993,Daihatsu,FEROZA,5,"['Daihatsu', 'FEROZA']",  750000,  1410,Gasolina,1500 cc,Manual,Todo Terreno 4x4,VERDE Y GRIS,GRIS,Termina en 8,San José
2002,Ford,TAURUS SES,5,"['Ford', 'TAURUS', 'SES']",  800000,  1504,Gasolina,3000 cc,Automática,Sedán,BLANCO,NEGRO,Termina en 8,San José
1998,Fiat,PUNTO,5,"['Fiat', 'PUNTO']",  800000,  1504,Gasolina,1200 cc,Manual,Hatchback,GRIS,GRIS,Termina en 9,San José
2015,Toyota,COROLLA LE,5,"['Toyota', 'COROLLA', 'LE']",  810000,  1523,Gasolina,1800 cc,Automática,Sedán,GRIS AZULADO,FORRO CUERO,Termina en 1,Alajuela
1999,Plymouth,BREEZE,5,"['Plymouth', 'BREEZE']",  850000,  1598,Gasolina,2000 cc,Automática,Sedán,BEIGE,BEIGE,Termina en 5,Guanacaste
1997,Honda,ACCORD,5,"['Honda', 'ACCORD']",  850000,  1598,Gasolina,2200 cc,Automática,Sedán,DORADO,BEIGE,Termina en 8,San José
1989,Audi,200,5,"['Audi', '200']",  850000,  1598,Gasolina,2200 cc,Automática,Sedán,DORADO,BEIGE,Termina en 2,San José
1989,Mitsubishi,LANCER,5,"['Mitsubishi', 'LANCER']",  950000,  1786,Gasolina,1500 cc,Manual,Sedán,BLANCO,CAFÉ,Termina en 5,Cartago
1993,Hyundai,SONATA,5,"['Hyundai', 'SONATA']", 1000000,  1880,Gasolina,2000 cc,Manual,Sedán,VINO,NEGRO,Termina en 5,Heredia
1993,Kia,SPORTAGE,5,"['Kia', 'SPORTAGE']", 1000000,  1880,Gasolina,2000 cc,Manual,Todo Terreno 4x4,AZUL,NEGRO,Termina en 9,Cartago
1985,Toyota,COROLLA,5,"['Toyota', 'COROLLA']", 1000000,  1880,Gasolina,1500 cc,Manual,Sedán,BLANCO,GRIS,Termina en 0,San José
1992,Nissan,SENTRA,5,"['Nissan', 'SENTRA']", 1000000,  1880,Gasolina,1600 cc,Manual,Sedán,CELESTE,GRIS,Termina en 2,San José
1994,Nissan,MAXIMA,5,"['Nissan', 'MAXIMA']", 1000000,  1880,Gasolina,3000 cc,Automática,Sedán,NEGRO,NEGRO,Termina en 6,Heredia
1988,Toyota,COROLLA,5,"['Toyota', 'COROLLA']", 1000000,  1880,Gasolina,1600 cc,Manual,Sedán,GRIS,GRIS,Termina en 7,Cartago
1991,Toyota,TERCEL,5,"['Toyota', 'TERCEL']", 1100000,  2068,Gasolina,1500 cc,Manual,Sedán,ROJO,BEIGE,Termina en 0,Limón
1995,Daewoo,DAEWOO,5,"['Daewoo', 'DAEWOO']", 1150000,  2162,Gasolina,1500 cc,Manual,Sedán,BLANCO,GRIS,Termina en 6,Cartago
1992,Nissan,SENTRA B13,5,"['Nissan', 'SENTRA', 'B13']", 1200000,  2256,Gasolina,1600 cc,Manual,Sedán,BLANCO,GRIS,Termina en 7,Cartago
2001,Peugeot,PARTNER,5,"['Peugeot', 'PARTNER']", 1200000,  2256,Diesel,1900 cc,Manual,Microbús/Minivan,GRIS,GRIS,Termina en 0,San José
2002,Volkswagen,POLO CLASSIC,5,"['Volkswagen', 'POLO', 'CLASSIC']", 1200000,  2256,Gasolina,1600 cc,Manual,Sedán,AZUL,NEGRO,Termina en 3,San José
1992,Nissan,SENTRA,5,"['Nissan', 'SENTRA']", 1250000,  2350,Gasolina,1600 cc,Manual,Sedán,VERDE,GRIS,Termina en 7,Cartago
